ID	UniProtKB	KEGG ID	KO Number	GO terms	
HVAEP2.T004430.1	Q8R508	FAT3_RAT	rno:191571;		dendrite [GO:0030425]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; cell morphogenesis involved in differentiation [GO:0000904]; cell-cell adhesion [GO:0098609]; dendrite development [GO:0016358]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; interneuron migration [GO:1904936]; negative regulation of dendrite development [GO:2000171]; neuron migration [GO:0001764]; retina layer formation [GO:0010842]
HVAEP2.T004431.1	Q9VW71	FAT2_DROME	dme:Dmel_CG7749;		actin-based cell projection [GO:0098858]; basal plasma membrane [GO:0009925]; cell trailing edge [GO:0031254]; focal adhesion [GO:0005925]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; cell adhesion molecule binding [GO:0050839]; protein-containing complex binding [GO:0044877]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell-cell adhesion [GO:0098609]; cell-cell adhesion mediated by cadherin [GO:0044331]; centripetally migrating follicle cell migration [GO:0060269]; defense response to Gram-negative bacterium [GO:0050829]; establishment of planar polarity of follicular epithelium [GO:0042247]; establishment or maintenance of actin cytoskeleton polarity [GO:0030950]; foregut morphogenesis [GO:0007440]; growth of a germarium-derived egg chamber [GO:0007295]; hindgut morphogenesis [GO:0007442]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; oogenesis [GO:0048477]; open tracheal system development [GO:0007424]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of innate immune response [GO:0045089]; protein localization to cell leading edge [GO:1902463]; salivary gland development [GO:0007431]
HVAEP2.T004434.1	A7PQW3	E13B_VITVI	vvi:100265368;		plasma membrane [GO:0005886]; glucan endo-1,3-beta-D-glucosidase activity [GO:0042973]; carbohydrate metabolic process [GO:0005975]; defense response [GO:0006952]; response to biotic stimulus [GO:0009607]
HVAEP2.T004435.2	P32780	TF2H1_HUMAN	hsa:2965;		nucleoplasm [GO:0005654]; transcription factor TFIIH core complex [GO:0000439]; transcription factor TFIIH holo complex [GO:0005675]; chromatin binding [GO:0003682]; nuclear thyroid hormone receptor binding [GO:0046966]; DNA repair [GO:0006281]; hormone-mediated signaling pathway [GO:0009755]; nucleotide-excision repair [GO:0006289]; phosphorylation of RNA polymerase II C-terminal domain [GO:0070816]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; transcription by RNA polymerase I [GO:0006360]; transcription by RNA polymerase II [GO:0006366]
HVAEP2.T004436.1	P72745	Y1101_SYNY3	syn:slr1101;		
HVAEP2.T004437.1	Q5BLX8	WDR83_RAT	rno:288924;		catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; inflammatory response to wounding [GO:0090594]; mRNA splicing, via spliceosome [GO:0000398]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; response to hypoxia [GO:0001666]; response to lipopolysaccharide [GO:0032496]; response to wounding [GO:0009611]; RNA splicing, via transesterification reactions [GO:0000375]
HVAEP2.T004438.1	Q960E8	TF2H1_DROME	dme:Dmel_CG8151;		nucleus [GO:0005634]; transcription factor TFIIH core complex [GO:0000439]; transcription factor TFIIH holo complex [GO:0005675]; DNA repair [GO:0006281]; nucleotide-excision repair [GO:0006289]; phosphorylation of RNA polymerase II C-terminal domain [GO:0070816]; response to UV [GO:0009411]; RNA polymerase II promoter clearance [GO:0001111]; transcription by RNA polymerase I [GO:0006360]; transcription by RNA polymerase II [GO:0006366]; transcription initiation at RNA polymerase II promoter [GO:0006367]; transcription open complex formation at RNA polymerase II promoter [GO:0001113]
HVAEP2.T004440.1	P72745	Y1101_SYNY3	syn:slr1101;		
HVAEP2.T004441.1	Q5BLX8	WDR83_RAT	rno:288924;		catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; inflammatory response to wounding [GO:0090594]; mRNA splicing, via spliceosome [GO:0000398]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; response to hypoxia [GO:0001666]; response to lipopolysaccharide [GO:0032496]; response to wounding [GO:0009611]; RNA splicing, via transesterification reactions [GO:0000375]
HVAEP2.T004442.1	Q66I61	STEEP_DANRE	dre:447921;		cell body [GO:0044297]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; endoplasmic reticulum membrane organization [GO:0090158]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]
HVAEP2.T004443.1	Q6DH26	MED31_DANRE	dre:436690;		core mediator complex [GO:0070847]; mediator complex [GO:0016592]; transcription coregulator activity [GO:0003712]; regulation of transcription by RNA polymerase II [GO:0006357]
HVAEP2.T004444.1	Q9D9V3	ECHD1_MOUSE	mmu:52665;		cytosol [GO:0005829]; carboxy-lyase activity [GO:0016831]; enoyl-CoA hydratase activity [GO:0004300]; methyl/ethyl malonyl-CoA decarboxylase activity [GO:0004492]; fatty acid beta-oxidation [GO:0006635]
HVAEP2.T004445.1	Q5R4R9	NDUF4_PONAB	pon:100173927;		membrane [GO:0016020]; mitochondrion [GO:0005739]; calmodulin binding [GO:0005516]; mitochondrial respiratory chain complex I assembly [GO:0032981]
HVAEP2.T004446.2	Q6DHJ1	TYW3_DANRE	dre:436884;		cytoplasm [GO:0005737]; tRNA methyltransferase activity [GO:0008175]; tRNA methylation [GO:0030488]
HVAEP2.T004447.1	Q5E9B3	PGTB2_BOVIN	bta:533276;		Rab-protein geranylgeranyltransferase complex [GO:0005968]; Rab geranylgeranyltransferase activity [GO:0004663]; small GTPase binding [GO:0031267]; zinc ion binding [GO:0008270]; protein geranylgeranylation [GO:0018344]; protein prenylation [GO:0018342]
HVAEP2.T004448.1	Q6GPQ6	EDF1_XENLA	xla:444060;		nucleus [GO:0005634]; DNA binding [GO:0003677]
HVAEP2.T004450.1	Q61072	ADAM9_MOUSE	mmu:11502;		basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; collagen binding [GO:0005518]; integrin binding [GO:0005178]; laminin binding [GO:0043236]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metalloendopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902945]; metallopeptidase activity [GO:0008237]; protein kinase C binding [GO:0005080]; SH3 domain binding [GO:0017124]; amyloid precursor protein catabolic process [GO:0042987]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell migration [GO:0016477]; cell-cell adhesion mediated by integrin [GO:0033631]; cell-matrix adhesion [GO:0007160]; cellular response to lipopolysaccharide [GO:0071222]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; monocyte activation [GO:0042117]; positive regulation of cell adhesion mediated by integrin [GO:0033630]; positive regulation of cell migration [GO:0030335]; positive regulation of keratinocyte migration [GO:0051549]; positive regulation of macrophage fusion [GO:0034241]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; positive regulation of protein secretion [GO:0050714]; protein processing [GO:0016485]; response to calcium ion [GO:0051592]; response to glucocorticoid [GO:0051384]; response to hydrogen peroxide [GO:0042542]; response to manganese ion [GO:0010042]; response to tumor necrosis factor [GO:0034612]; transforming growth factor beta receptor signaling pathway [GO:0007179]
HVAEP2.T004451.1	Q13443	ADAM9_HUMAN	hsa:8754;		cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; collagen binding [GO:0005518]; integrin binding [GO:0005178]; laminin binding [GO:0043236]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metalloendopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902945]; metallopeptidase activity [GO:0008237]; protein kinase C binding [GO:0005080]; SH3 domain binding [GO:0017124]; amyloid precursor protein catabolic process [GO:0042987]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell migration [GO:0016477]; cell-cell adhesion mediated by integrin [GO:0033631]; cell-matrix adhesion [GO:0007160]; cellular response to lipopolysaccharide [GO:0071222]; integrin-mediated signaling pathway [GO:0007229]; keratinocyte differentiation [GO:0030216]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; monocyte activation [GO:0042117]; positive regulation of cell adhesion mediated by integrin [GO:0033630]; positive regulation of cell migration [GO:0030335]; positive regulation of keratinocyte migration [GO:0051549]; positive regulation of macrophage fusion [GO:0034241]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; positive regulation of protein secretion [GO:0050714]; protein processing [GO:0016485]; response to calcium ion [GO:0051592]; response to glucocorticoid [GO:0051384]; response to hydrogen peroxide [GO:0042542]; response to manganese ion [GO:0010042]; response to tumor necrosis factor [GO:0034612]; transforming growth factor beta receptor signaling pathway [GO:0007179]
HVAEP2.T004454.1	Q8N1B4	VPS52_HUMAN	hsa:6293;		cytosol [GO:0005829]; EARP complex [GO:1990745]; endosome membrane [GO:0010008]; GARP complex [GO:0000938]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; recycling endosome [GO:0055037]; trans-Golgi network membrane [GO:0032588]; syntaxin binding [GO:0019905]; ectodermal cell differentiation [GO:0010668]; embryonic ectodermal digestive tract development [GO:0048611]; endocytic recycling [GO:0032456]; Golgi to vacuole transport [GO:0006896]; lysosomal transport [GO:0007041]; protein targeting [GO:0006605]; retrograde transport, endosome to Golgi [GO:0042147]; vesicle-mediated cholesterol transport [GO:0090119]
HVAEP2.T004455.1	Q16531	DDB1_HUMAN	hsa:1642;		chromosome, telomeric region [GO:0000781]; Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; Cul4A-RING E3 ubiquitin ligase complex [GO:0031464]; Cul4B-RING E3 ubiquitin ligase complex [GO:0031465]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; site of double-strand break [GO:0035861]; cullin family protein binding [GO:0097602]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; protein-containing complex binding [GO:0044877]; protein-macromolecule adaptor activity [GO:0030674]; WD40-repeat domain binding [GO:0071987]; apoptotic process [GO:0006915]; biological process involved in interaction with symbiont [GO:0051702]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to UV [GO:0034644]; DNA repair [GO:0006281]; ectopic germ cell programmed cell death [GO:0035234]; histone H2A monoubiquitination [GO:0035518]; negative regulation of apoptotic process [GO:0043066]; negative regulation of developmental process [GO:0051093]; negative regulation of reproductive process [GO:2000242]; nucleotide-excision repair [GO:0006289]; positive regulation by virus of viral protein levels in host cell [GO:0046726]; positive regulation of gluconeogenesis [GO:0045722]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of viral genome replication [GO:0045070]; proteasomal protein catabolic process [GO:0010498]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; regulation of circadian rhythm [GO:0042752]; regulation of mitotic cell cycle phase transition [GO:1901990]; rhythmic process [GO:0048511]; ubiquitin-dependent protein catabolic process [GO:0006511]; UV-damage excision repair [GO:0070914]; viral release from host cell [GO:0019076]; Wnt signaling pathway [GO:0016055]
HVAEP2.T004456.1	Q9IB89	ZIC5_XENLA	xla:373661;		nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; nervous system development [GO:0007399]; neural crest formation [GO:0014029]
HVAEP2.T004457.1	O55229	CHKB_MOUSE	mmu:12651;		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; choline kinase activity [GO:0004103]; ethanolamine kinase activity [GO:0004305]; CDP-choline pathway [GO:0006657]; muscle organ development [GO:0007517]; phosphatidylcholine biosynthetic process [GO:0006656]; phosphatidylethanolamine biosynthetic process [GO:0006646]; phosphorylation [GO:0016310]
HVAEP2.T004459.1	Q3U4H6	HEXD_MOUSE	mmu:238023;		cytoplasm [GO:0005737]; extracellular vesicle [GO:1903561]; nucleus [GO:0005634]; beta-N-acetylhexosaminidase activity [GO:0004563]; hexosaminidase activity [GO:0015929]; N-acetyl-beta-D-galactosaminidase activity [GO:0102148]; carbohydrate metabolic process [GO:0005975]
HVAEP2.T004460.1	G3I8R9	BIP_CRIGR	cge:100689305;		cell surface [GO:0009986]; cytosol [GO:0005829]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; melanosome [GO:0042470]; mitochondrion [GO:0005739]; perinuclear region of cytoplasm [GO:0048471]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of IRE1-mediated unfolded protein response [GO:1903895]; negative regulation of protein-containing complex assembly [GO:0031333]; post-translational protein targeting to membrane, translocation [GO:0031204]
HVAEP2.T004462.1	P49790	NU153_HUMAN	hsa:9972;		cytosol [GO:0005829]; host cell [GO:0043657]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear inclusion body [GO:0042405]; nuclear membrane [GO:0031965]; nuclear periphery [GO:0034399]; nuclear pore [GO:0005643]; nuclear pore nuclear basket [GO:0044615]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; nuclear localization sequence binding [GO:0008139]; protein-membrane adaptor activity [GO:0043495]; structural constituent of nuclear pore [GO:0017056]; mRNA transport [GO:0051028]; negative regulation of RNA export from nucleus [GO:0046832]; nuclear pore complex assembly [GO:0051292]; nucleocytoplasmic transport [GO:0006913]; protein import into nucleus [GO:0006606]; RNA export from nucleus [GO:0006405]; viral entry into host cell [GO:0046718]; viral penetration into host nucleus [GO:0075732]
HVAEP2.T004464.1	P29754	AGTRA_MOUSE	mmu:11607;		basolateral plasma membrane [GO:0016323]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; dendrite [GO:0030425]; endomembrane system [GO:0012505]; endosome [GO:0005768]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; organelle outer membrane [GO:0031968]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; angiotensin type I receptor activity [GO:0001596]; angiotensin type II receptor activity [GO:0004945]; bradykinin receptor binding [GO:0031711]; D1 dopamine receptor binding [GO:0031748]; G protein-coupled receptor activity [GO:0004930]; protein heterodimerization activity [GO:0046982]; protein kinase binding [GO:0019901]; activation of Janus kinase activity [GO:0042976]; angiotensin-activated signaling pathway [GO:0038166]; blood vessel development [GO:0001568]; brain renin-angiotensin system [GO:0002035]; calcium-mediated signaling [GO:0019722]; cell chemotaxis [GO:0060326]; cellular response to dexamethasone stimulus [GO:0071549]; dopamine biosynthetic process [GO:0042416]; drinking behavior [GO:0042756]; G protein-coupled receptor signaling pathway [GO:0007186]; gene expression [GO:0010467]; heart development [GO:0007507]; inflammatory response [GO:0006954]; kidney development [GO:0001822]; maintenance of blood vessel diameter homeostasis by renin-angiotensin [GO:0002034]; multicellular organism aging [GO:0010259]; negative regulation of smooth muscle cell apoptotic process [GO:0034392]; neuron apoptotic process [GO:0051402]; phospholipase C-activating angiotensin-activated signaling pathway [GO:0086097]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood pressure [GO:0045777]; positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis [GO:1903589]; positive regulation of branching involved in ureteric bud morphogenesis [GO:0090190]; positive regulation of calcium ion import across plasma membrane [GO:1905665]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of CoA-transferase activity [GO:1905920]; positive regulation of cytokine production [GO:0001819]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway [GO:0051482]; positive regulation of macrophage derived foam cell differentiation [GO:0010744]; positive regulation of phospholipase A2 activity [GO:0032430]; positive regulation of protein metabolic process [GO:0051247]; positive regulation of receptor recycling [GO:0001921]; positive regulation of superoxide anion generation [GO:0032930]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; regulation of blood pressure [GO:0008217]; regulation of pH [GO:0006885]; regulation of renal output by angiotensin [GO:0002019]; regulation of systemic arterial blood pressure by circulatory renin-angiotensin [GO:0001991]; regulation of vascular associated smooth muscle cell apoptotic process [GO:1905459]; regulation of vasoconstriction [GO:0019229]; renin secretion into blood stream [GO:0002001]; renin-angiotensin regulation of aldosterone production [GO:0002018]; response to activity [GO:0014823]; response to corticosterone [GO:0051412]; response to estrogen [GO:0043627]; response to salt stress [GO:0009651]; Rho protein signal transduction [GO:0007266]; vascular associated smooth muscle cell proliferation [GO:1990874]; vasoconstriction [GO:0042310]; viral entry into host cell [GO:0046718]
HVAEP2.T004470.1	P25104	AGTR1_BOVIN	bta:281607;		plasma membrane [GO:0005886]; angiotensin type I receptor activity [GO:0001596]; angiotensin type II receptor activity [GO:0004945]; bradykinin receptor binding [GO:0031711]; G protein-coupled receptor activity [GO:0004930]; protein heterodimerization activity [GO:0046982]; calcium-mediated signaling [GO:0019722]; cell chemotaxis [GO:0060326]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; kidney development [GO:0001822]; maintenance of blood vessel diameter homeostasis by renin-angiotensin [GO:0002034]; positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis [GO:1903589]; positive regulation of CoA-transferase activity [GO:1905920]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway [GO:0051482]; positive regulation of macrophage derived foam cell differentiation [GO:0010744]; positive regulation of phospholipase A2 activity [GO:0032430]; positive regulation of protein metabolic process [GO:0051247]; regulation of vasoconstriction [GO:0019229]; Rho protein signal transduction [GO:0007266]; viral entry into host cell [GO:0046718]
HVAEP2.T004471.1	P35373	AGTRB_XENLA			plasma membrane [GO:0005886]; angiotensin receptor activity [GO:0001595]; angiotensin type II receptor activity [GO:0004945]; calcium-mediated signaling [GO:0019722]; positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway [GO:0051482]; regulation of vasoconstriction [GO:0019229]
HVAEP2.T004474.1	Q32LE9	CSRP2_BOVIN	bta:539381;		cytoplasm [GO:0005737]; nucleus [GO:0005634]; Z disc [GO:0030018]; actinin binding [GO:0042805]; metal ion binding [GO:0046872]; structural constituent of muscle [GO:0008307]; actin cytoskeleton organization [GO:0030036]; muscle tissue development [GO:0060537]; sarcomere organization [GO:0045214]
HVAEP2.T004476.1	A2VDD2	DYL5B_XENLA			
HVAEP2.T004475.2	P47032	PRY1_YEAST	sce:YJL079C;		endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; fungal-type vacuole [GO:0000324]; nuclear envelope [GO:0005635]; cholesterol binding [GO:0015485]; fatty acid binding [GO:0005504]; magnesium ion binding [GO:0000287]; sterol binding [GO:0032934]; fatty acid transport [GO:0015908]; sterol transport [GO:0015918]
HVAEP2.T004477.1	O08873	MADD_RAT	rno:94193;		axon [GO:0030424]; axon cytoplasm [GO:1904115]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; guanyl-nucleotide exchange factor activity [GO:0005085]; anterograde synaptic vesicle transport [GO:0048490]; execution phase of apoptosis [GO:0097194]; negative regulation of apoptotic signaling pathway [GO:2001234]; negative regulation of growth hormone secretion [GO:0060125]; negative regulation of pancreatic amylase secretion [GO:1902277]; positive regulation of MAPK cascade [GO:0043410]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of extrinsic apoptotic signaling pathway [GO:2001236]; regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902041]; regulation of Rab protein signal transduction [GO:0032483]
HVAEP2.T004478.2	P50287	ASPGA_ARATH	ath:AT5G08100;		cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; asparaginase activity [GO:0004067]; beta-aspartyl-peptidase activity [GO:0008798]; protein autoprocessing [GO:0016540]
HVAEP2.T004479.1	Q60HG9	CPT2_MACFA	mcf:102137160;		mitochondrial inner membrane [GO:0005743]; acyltransferase activity [GO:0016746]; carnitine O-octanoyltransferase activity [GO:0008458]; carnitine O-palmitoyltransferase activity [GO:0004095]; carnitine metabolic process [GO:0009437]; fatty acid beta-oxidation [GO:0006635]; long-chain fatty acid metabolic process [GO:0001676]
HVAEP2.T004487.1	Q86X24	HORM1_HUMAN	hsa:84072;		chromosome [GO:0005694]; nucleus [GO:0005634]; synaptonemal complex [GO:0000795]; blastocyst development [GO:0001824]; meiotic cell cycle [GO:0051321]; meiotic DNA double-strand break formation [GO:0042138]; meiotic recombination checkpoint signaling [GO:0051598]; meiotic sister chromatid cohesion [GO:0051177]; oogenesis [GO:0048477]; regulation of homologous chromosome segregation [GO:0060629]; spermatogenesis [GO:0007283]; synaptonemal complex assembly [GO:0007130]
HVAEP2.T004493.1	Q32L97	VAMP4_BOVIN	bta:616923;		cell surface [GO:0009986]; SNARE complex [GO:0031201]; synaptic vesicle [GO:0008021]; trans-Golgi network [GO:0005802]; endocytic recycling [GO:0032456]; Golgi ribbon formation [GO:0090161]; microtubule cytoskeleton organization [GO:0000226]; SNARE complex assembly [GO:0035493]
HVAEP2.T004494.2	B3NDM7	FLOWR_DROER	der:6544295;		plasma membrane [GO:0005886]; synaptic vesicle membrane [GO:0030672]; calcium channel activity [GO:0005262]; identical protein binding [GO:0042802]; bulk synaptic vesicle endocytosis [GO:0150008]; cell competition in a multicellular organism [GO:0035212]; clathrin-dependent synaptic vesicle endocytosis [GO:0150007]; photoreceptor cell differentiation [GO:0046530]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of presynaptic cytosolic calcium concentration [GO:0099533]; synaptic vesicle endocytosis [GO:0048488]
HVAEP2.T004495.1	B3NDM7	FLOWR_DROER	der:6544295;		plasma membrane [GO:0005886]; synaptic vesicle membrane [GO:0030672]; calcium channel activity [GO:0005262]; identical protein binding [GO:0042802]; bulk synaptic vesicle endocytosis [GO:0150008]; cell competition in a multicellular organism [GO:0035212]; clathrin-dependent synaptic vesicle endocytosis [GO:0150007]; photoreceptor cell differentiation [GO:0046530]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of presynaptic cytosolic calcium concentration [GO:0099533]; synaptic vesicle endocytosis [GO:0048488]
HVAEP2.T004496.5	Q8IVL5	P3H2_HUMAN	hsa:55214;		basement membrane [GO:0005604]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; sarcoplasmic reticulum [GO:0016529]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; procollagen-proline 3-dioxygenase activity [GO:0019797]; collagen metabolic process [GO:0032963]; negative regulation of cell population proliferation [GO:0008285]; peptidyl-proline hydroxylation [GO:0019511]
HVAEP2.T004497.1	Q9HAC7	SUCHY_HUMAN	hsa:79783;		mitochondrion [GO:0005739]; succinate-hydroxymethylglutarate CoA-transferase activity [GO:0047369]
HVAEP2.T004498.1	Q921M4	GOGA2_MOUSE	mmu:99412;		cis-Golgi network [GO:0005801]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; cytoplasm [GO:0005737]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; Golgi cis cisterna [GO:0000137]; Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]; microtubule [GO:0005874]; mitotic spindle [GO:0072686]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]; spindle pole [GO:0000922]; identical protein binding [GO:0042802]; importin-alpha family protein binding [GO:0061676]; microtubule binding [GO:0008017]; protein kinase binding [GO:0019901]; protein-containing complex binding [GO:0044877]; syntaxin binding [GO:0019905]; asymmetric cell division [GO:0008356]; axonogenesis [GO:0007409]; centrosome cycle [GO:0007098]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi disassembly [GO:0090166]; Golgi localization [GO:0051645]; Golgi organization [GO:0007030]; Golgi ribbon formation [GO:0090161]; meiotic spindle assembly [GO:0090306]; microtubule nucleation [GO:0007020]; mitotic spindle assembly [GO:0090307]; negative regulation of autophagy [GO:0010507]; negative regulation of protein binding [GO:0032091]; positive regulation of axonogenesis [GO:0050772]; positive regulation of protein glycosylation [GO:0060050]; protein glycosylation [GO:0006486]; protein homotetramerization [GO:0051289]; protein transport [GO:0015031]; spindle assembly [GO:0051225]
HVAEP2.T004499.1	P15541	AMPN_RABIT	ocu:100009167;		plasma membrane [GO:0005886]; aminopeptidase activity [GO:0004177]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]; angiogenesis [GO:0001525]; cell differentiation [GO:0030154]; proteolysis [GO:0006508]
HVAEP2.T004500.1	Q1L8F9	KICS2_DANRE	dre:555715;		KICSTOR complex [GO:0140007]; lysosomal membrane [GO:0005765]; cellular response to amino acid starvation [GO:0034198]; cellular response to glucose starvation [GO:0042149]; negative regulation of TORC1 signaling [GO:1904262]; protein localization to lysosome [GO:0061462]
HVAEP2.T004501.1	Q1L8F9	KICS2_DANRE	dre:555715;		KICSTOR complex [GO:0140007]; lysosomal membrane [GO:0005765]; cellular response to amino acid starvation [GO:0034198]; cellular response to glucose starvation [GO:0042149]; negative regulation of TORC1 signaling [GO:1904262]; protein localization to lysosome [GO:0061462]
HVAEP2.T004502.1	Q9C0C7	AMRA1_HUMAN	hsa:55626;		autophagosome [GO:0005776]; axoneme [GO:0005930]; Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; focal adhesion [GO:0005925]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle [GO:0045335]; GTPase binding [GO:0051020]; protein phosphatase binding [GO:0019903]; ubiquitin ligase-substrate adaptor activity [GO:1990756]; ubiquitin protein ligase binding [GO:0031625]; autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; cell cycle [GO:0007049]; cell differentiation [GO:0030154]; cellular response to starvation [GO:0009267]; mitophagy [GO:0000423]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of neuron apoptotic process [GO:0043524]; neural tube development [GO:0021915]; positive regulation of autophagy [GO:0010508]; positive regulation of free ubiquitin chain polymerization [GO:1904544]; positive regulation of mitophagy [GO:1901526]; positive regulation of phosphatidylinositol 3-kinase activity [GO:0043552]; positive regulation of protein dephosphorylation [GO:0035307]; positive regulation of regulatory T cell differentiation [GO:0045591]; protein polyubiquitination [GO:0000209]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; regulation of transcription by RNA polymerase II [GO:0006357]; response to mitochondrial depolarisation [GO:0098780]
